probability: 0.25
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
6.229508196721311e-07,1.1999998544000376e-06,1.1999999272000097e-06,1.1999999514666706e-06,1.1999999636000016e-06,1.1999999708800016e-06,1.1999999757333344e-06,1.1999999792000005e-06,1.1999999818000006e-06,1.199999983822223e-06,1.19999998544e-06,1.1999999867636367e-06,1.199999987866667e-06,1.1999999887999997e-06,1.1999999895999998e-06,1.1999999902933338e-06,1.1999999909000002e-06,1.1999999914352939e-06,1.1999999919111112e-06,1.199999992336842e-06
0.0,2.0999996948000716,2.0999998474000185,2.099999898266674,2.0999999237000035,2.099999938960003,2.0999999491333354,2.0999999564000014,2.0999999618500014,2.09999996608889,2.0999999694800002,2.099999972254546,2.0999999745666673,2.0999999765230766,2.0999999782,2.099999979653334,2.0999999809250003,2.0999999820470583,2.099999983044445,2.0999999839368417
9552631.578947369,17499999.94,17499999.97,17499999.979999997,17499999.985000003,17499999.987999998,17499999.990000002,17499999.991428573,17499999.992500003,17499999.993333336,17499999.994000003,17499999.994545456,17499999.995,17499999.99538462,17499999.99571429,17499999.995999996,17499999.99625,17499999.99647059,17499999.996666666,17499999.9968421
probability: 0.5
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
7.868852459016393e-07,1.1999999024000268e-06,1.1999999512000072e-06,1.1999999674666693e-06,1.1999999756000013e-06,1.1999999804800012e-06,1.199999983733334e-06,1.199999986057143e-06,1.1999999878000006e-06,1.1999999891555561e-06,1.1999999902400001e-06,1.199999991127273e-06,1.1999999918666668e-06,1.1999999924923073e-06,1.1999999930285713e-06,1.1999999934933336e-06,1.1999999938999998e-06,1.1999999942588231e-06,1.1999999945777778e-06,1.1999999948631576e-06
0.0,1.4999998588000323,1.4999999294000086,1.4999999529333365,1.4999999647000015,1.4999999717600017,1.4999999764666674,1.499999979828572,1.4999999823500008,1.4999999843111118,1.4999999858800002,1.499999987163637,1.4999999882333337,1.4999999891384612,1.4999999899142855,1.4999999905866672,1.499999991175,1.4999999916941174,1.499999992155556,1.4999999925684209
7562500.000000001,12500000.199999964,12500000.09999999,12500000.066666663,12500000.049999997,12500000.040000001,12500000.033333331,12500000.02857143,12500000.025,12500000.02222222,12500000.020000001,12500000.01818182,12500000.01666667,12500000.015384616,12500000.014285713,12500000.013333336,12500000.012500001,12500000.011764709,12500000.011111114,12500000.010526318
probability: 0.75
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
9.508196721311476e-07,1.199999950400016e-06,1.1999999752000046e-06,1.1999999834666681e-06,1.1999999876000007e-06,1.199999990080001e-06,1.1999999917333336e-06,1.1999999929142858e-06,1.1999999938000004e-06,1.1999999944888896e-06,1.1999999950399999e-06,1.1999999954909094e-06,1.1999999958666668e-06,1.1999999961846148e-06,1.1999999964571428e-06,1.1999999966933337e-06,1.1999999969e-06,1.1999999970823526e-06,1.1999999972444444e-06,1.1999999973894736e-06
0.0,0.9000000227999931,0.9000000113999986,0.900000007599999,0.9000000056999993,0.9000000045599998,0.9000000037999998,0.9000000032571425,0.9000000028500001,0.9000000025333335,0.9000000022799998,0.9000000020727272,0.9000000019,0.9000000017538456,0.9000000016285712,0.9000000015200001,0.9000000014249998,0.9000000013411763,0.9000000012666667,0.9000000011999999
6258620.689655173,7500000.859999836,7500000.429999959,7500000.286666648,7500000.214999989,7500000.171999993,7500000.14333333,7500000.122857139,7500000.107499998,7500000.095555552,7500000.085999999,7500000.078181816,7500000.071666665,7500000.066153846,7500000.06142857,7500000.057333333,7500000.053749999,7500000.050588236,7500000.047777779,7500000.045263157
probability: 0.9
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
1.0491803278688525e-06,1.1999999792000094e-06,1.1999999896000028e-06,1.1999999930666674e-06,1.1999999948e-06,1.1999999958400005e-06,1.1999999965333334e-06,1.199999997028571e-06,1.1999999974000003e-06,1.1999999976888894e-06,1.19999999792e-06,1.1999999981090912e-06,1.1999999982666669e-06,1.1999999983999994e-06,1.1999999985142853e-06,1.1999999986133333e-06,1.1999999987e-06,1.1999999987764702e-06,1.1999999988444444e-06,1.199999998905263e-06
0.0,0.5400001211999694,0.5400000605999926,0.5400000403999964,0.5400000302999979,0.5400000242399988,0.540000020199999,0.5400000173142849,0.5400000151499996,0.5400000134666664,0.5400000121199995,0.5400000110181815,0.5400000100999998,0.5400000093230765,0.5400000086571425,0.5400000080799999,0.5400000075749998,0.5400000071294115,0.5400000067333333,0.5400000063789472
5671875.000000001,4500001.447999692,4500000.723999923,4500000.482666631,4500000.361999981,4500000.289599988,4500000.241333324,4500000.206857137,4500000.180999995,4500000.160888884,4500000.144799995,4500000.13163636,4500000.120666664,4500000.111384614,4500000.10342857,4500000.096533332,4500000.090499998,4500000.085176471,4500000.080444444,4500000.076210525
