setting: 1
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.714285714285719e-06,7.50000132499988e-08,7.500000662499969e-08,7.500000441666653e-08,7.500000331249992e-08,7.500000264999996e-08,7.50000022083333e-08,7.500000189285714e-08,7.500000165624997e-08,7.500000147222219e-08,7.500000132499998e-08,7.500000120454542e-08,7.500000110416664e-08,7.500000101923075e-08,7.500000094642855e-08,7.500000088333331e-08,7.500000082812496e-08,7.500000077941176e-08,7.50000007361111e-08,7.500000069736842e-08
-0.0,0.32625005463749424,0.3262500273187485,0.3262500182124994,0.32625001365937467,0.3262500109274998,0.3262500091062499,0.3262500078053571,0.3262500068296874,0.3262500060708332,0.32625000546374994,0.32625000496704537,0.32625000455312486,0.32625000420288447,0.3262500039026785,0.3262500036424999,0.3262500034148436,0.3262500032139706,0.3262500030354166,0.32625000287565786
10875000.000000002,21749999.959999997,21749999.98,21749999.986666672,21749999.990000002,21749999.991999995,21749999.99333334,21749999.994285718,21749999.995000005,21749999.995555557,21749999.996000003,21749999.99636364,21749999.996666666,21749999.996923074,21749999.99714286,21749999.997333337,21749999.997500006,21749999.99764706,21749999.997777782,21749999.997894738
setting: 2
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.714285714285719e-06,3.7500006812499414e-08,3.750000340624984e-08,3.750000227083326e-08,3.7500001703124957e-08,3.7500001362499974e-08,3.7500001135416655e-08,3.750000097321427e-08,3.750000085156248e-08,3.7500000756944434e-08,3.750000068124999e-08,3.7500000619318176e-08,3.750000056770832e-08,3.750000052403846e-08,3.750000048660714e-08,3.750000045416667e-08,3.7500000425781246e-08,3.750000040073529e-08,3.750000037847221e-08,3.7500000358552625e-08
-0.0,0.31312505538436985,0.31312502769218614,0.3131250184614577,0.31312501384609337,0.31312501107687474,0.31312500923072906,0.3131250079120535,0.31312500692304673,0.3131250061538194,0.3131250055384374,0.31312500503494317,0.3131250046153645,0.3131250042603365,0.31312500395602677,0.3131250036922917,0.31312500346152344,0.3131250032579044,0.31312500307690966,0.3131250029149671
20875000.000000004,41749999.96,41749999.980000004,41749999.986666664,41749999.99,41749999.992,41749999.99333333,41749999.99428572,41749999.995000005,41749999.99555556,41749999.996,41749999.99636364,41749999.99666667,41749999.996923074,41749999.99714286,41749999.99733333,41749999.9975,41749999.99764706,41749999.99777778,41749999.99789474
setting: 3
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.714285714285733e-06,2.5000004583332943e-08,2.5000002291666564e-08,2.500000152777773e-08,2.5000001145833298e-08,2.500000091666665e-08,2.500000076388888e-08,2.50000006547619e-08,2.500000057291666e-08,2.5000000509259255e-08,2.5000000458333332e-08,2.500000041666666e-08,2.5000000381944443e-08,2.500000035256409e-08,2.5000000327380943e-08,2.500000030555555e-08,2.500000028645832e-08,2.5000000269607836e-08,2.5000000254629624e-08,2.5000000241228067e-08
-0.0,0.30875005560416163,0.3087500278020821,0.3087500185347216,0.3087500139010413,0.3087500111208332,0.30875000926736107,0.3087500079434523,0.3087500069505208,0.3087500061782408,0.30875000556041665,0.30875000505492417,0.3087500046336806,0.30875000427724353,0.3087500039717262,0.3087500037069444,0.30875000347526027,0.30875000327083335,0.3087500030891204,0.3087500029265351
30875000.0,61749999.95999999,61749999.98000001,61749999.98666667,61749999.99000002,61749999.99200002,61749999.99333335,61749999.99428572,61749999.99500001,61749999.99555558,61749999.996,61749999.99636364,61749999.99666668,61749999.9969231,61749999.99714288,61749999.99733333,61749999.99750001,61749999.99764708,61749999.99777779,61749999.99789474
setting: 4
0,25,50,75,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475
5.714285714285716e-07,2.500000038333333e-08,2.5000000191666654e-08,2.500000012777777e-08,2.5000000095833323e-08,2.5000000076666665e-08,2.5000000063888885e-08,2.5000000054761903e-08,2.5000000047916666e-08,2.5000000042592587e-08,2.5000000038333335e-08,2.5000000034848476e-08,2.500000003194444e-08,2.5000000029487175e-08,2.5000000027380944e-08,2.5000000025555552e-08,2.5000000023958326e-08,2.5000000022549022e-08,2.5000000021296283e-08,2.5000000020175437e-08
-0.0,0.3875000049416666,0.3875000024708332,0.38750000164722215,0.3875000012354165,0.38750000098833337,0.3875000008236111,0.38750000070595236,0.3875000006177084,0.3875000005490741,0.3875000004941668,0.3875000004492424,0.38750000041180555,0.3875000003801282,0.38750000035297616,0.3875000003294444,0.3875000003088541,0.3875000002906863,0.38750000027453696,0.3875000002600878
38750000.00000001,77499999.96000001,77499999.98000002,77499999.98666668,77499999.99,77499999.99200001,77499999.99333334,77499999.99428572,77499999.995,77499999.99555558,77499999.996,77499999.99636365,77499999.99666667,77499999.99692309,77499999.99714287,77499999.99733335,77499999.99750002,77499999.99764706,77499999.9977778,77499999.99789475
